,Unnamed: 0,PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Cabin,gender,southhampton,cherbourgh,queenstown
0,0,1,0,3,22.0,1,0,7.25,0,1,1,0,0
1,1,2,1,1,38.0,1,0,71.2833,C85,0,0,1,0
2,2,3,1,3,26.0,0,0,7.925,0,0,1,0,0
3,3,4,1,1,35.0,1,0,53.1,C123,0,1,0,0
4,4,5,0,3,35.0,0,0,8.05,0,1,1,0,0
5,5,6,0,3,28.343689655172412,0,0,8.4583,0,1,0,0,1
6,6,7,0,1,54.0,0,0,51.8625,E46,1,1,0,0
7,7,8,0,3,2.0,3,1,21.075,0,1,1,0,0
8,8,9,1,3,27.0,0,2,11.1333,0,0,1,0,0
9,9,10,1,2,14.0,1,0,30.0708,0,0,0,1,0
10,10,11,1,3,4.0,1,1,16.7,G6,0,1,0,0
11,11,12,1,1,58.0,0,0,26.55,C103,0,1,0,0
12,12,13,0,3,20.0,0,0,8.05,0,1,1,0,0
13,13,14,0,3,39.0,1,5,31.275,0,1,1,0,0
14,14,15,0,3,14.0,0,0,7.8542,0,0,1,0,0
15,15,16,1,2,55.0,0,0,16.0,0,0,1,0,0
16,16,17,0,3,2.0,4,1,29.125,0,1,0,0,1
17,17,18,1,2,28.343689655172412,0,0,13.0,0,1,1,0,0
18,18,19,0,3,31.0,1,0,18.0,0,0,1,0,0
19,19,20,1,3,28.343689655172412,0,0,7.225,0,0,0,1,0
20,20,21,0,2,35.0,0,0,26.0,0,1,1,0,0
21,21,22,1,2,34.0,0,0,13.0,D56,1,1,0,0
22,22,23,1,3,15.0,0,0,8.0292,0,0,0,0,1
23,23,24,1,1,28.0,0,0,35.5,A6,1,1,0,0
24,24,25,0,3,8.0,3,1,21.075,0,0,1,0,0
25,25,26,1,3,38.0,1,5,31.3875,0,0,1,0,0
26,26,27,0,3,28.343689655172412,0,0,7.225,0,1,0,1,0
27,27,28,0,1,19.0,3,2,263.0,C23 C25 C27,1,1,0,0
28,28,29,1,3,28.343689655172412,0,0,7.8792,0,0,0,0,1
29,29,30,0,3,28.343689655172412,0,0,7.8958,0,1,1,0,0
30,30,31,0,1,40.0,0,0,27.7208,0,1,0,1,0
31,31,32,1,1,28.343689655172412,1,0,146.5208,B78,0,0,1,0
32,32,33,1,3,28.343689655172412,0,0,7.75,0,0,0,0,1
33,33,34,0,2,66.0,0,0,10.5,0,1,1,0,0
34,34,35,0,1,28.0,1,0,82.1708,0,1,0,1,0
35,35,36,0,1,42.0,1,0,52.0,0,1,1,0,0
36,36,37,1,3,28.343689655172412,0,0,7.2292,0,1,0,1,0
37,37,38,0,3,21.0,0,0,8.05,0,1,1,0,0
38,38,39,0,3,18.0,2,0,18.0,0,0,1,0,0
39,39,40,1,3,14.0,1,0,11.2417,0,0,0,1,0
40,40,41,0,3,40.0,1,0,9.475,0,0,1,0,0
41,41,42,0,2,27.0,1,0,21.0,0,0,1,0,0
42,42,43,0,3,28.343689655172412,0,0,7.8958,0,1,0,1,0
43,43,44,1,2,3.0,1,2,41.5792,0,0,0,1,0
44,44,45,1,3,19.0,0,0,7.8792,0,0,0,0,1
45,45,46,0,3,28.343689655172412,0,0,8.05,0,1,1,0,0
46,46,47,0,3,28.343689655172412,1,0,15.5,0,1,0,0,1
47,47,48,1,3,28.343689655172412,0,0,7.75,0,0,0,0,1
48,48,49,0,3,28.343689655172412,2,0,21.6792,0,1,0,1,0
49,49,50,0,3,18.0,1,0,17.8,0,0,1,0,0
50,50,51,0,3,7.0,4,1,39.6875,0,1,1,0,0
51,51,52,0,3,21.0,0,0,7.8,0,1,1,0,0
52,52,53,1,1,49.0,1,0,76.7292,D33,0,0,1,0
53,53,54,1,2,29.0,1,0,26.0,0,0,1,0,0
54,54,55,0,1,65.0,0,1,61.9792,B30,1,0,1,0
55,55,56,1,1,28.343689655172412,0,0,35.5,C52,1,1,0,0
56,56,57,1,2,21.0,0,0,10.5,0,0,1,0,0
57,57,58,0,3,28.5,0,0,7.2292,0,1,0,1,0
58,58,59,1,2,5.0,1,2,27.75,0,0,1,0,0
59,59,60,0,3,11.0,5,2,46.9,0,1,1,0,0
60,60,61,0,3,22.0,0,0,7.2292,0,1,0,1,0
61,61,62,1,1,38.0,0,0,80.0,B28,0,0,0,0
62,62,63,0,1,45.0,1,0,83.475,C83,1,1,0,0
63,63,64,0,3,4.0,3,2,27.9,0,1,1,0,0
64,64,65,0,1,28.343689655172412,0,0,27.7208,0,1,0,1,0
65,65,66,1,3,28.343689655172412,1,1,15.2458,0,1,0,1,0
66,66,67,1,2,29.0,0,0,10.5,F33,0,1,0,0
67,67,68,0,3,19.0,0,0,8.1583,0,1,1,0,0
68,68,69,1,3,17.0,4,2,7.925,0,0,1,0,0
69,69,70,0,3,26.0,2,0,8.6625,0,1,1,0,0
70,70,71,0,2,32.0,0,0,10.5,0,1,1,0,0
71,71,72,0,3,16.0,5,2,46.9,0,0,1,0,0
72,72,73,0,2,21.0,0,0,73.5,0,1,1,0,0
73,73,74,0,3,26.0,1,0,14.4542,0,1,0,1,0
74,74,75,1,3,32.0,0,0,56.4958,0,1,1,0,0
75,75,76,0,3,25.0,0,0,7.65,F G73,1,1,0,0
76,76,77,0,3,28.343689655172412,0,0,7.8958,0,1,1,0,0
